Date,Price,Open,High,Low,Vol.,Change %
25-Nov-16,2211.25,2205.5,2211.25,2202.5,-,0.26%
24-Nov-16,2205.5,2199.25,2207,2197.75,-,0.27%
23-Nov-16,2199.5,2200.25,2203.5,2192.25,-,-0.02%
22-Nov-16,2200,2194,2203,2191.75,-,0.27%
21-Nov-16,2194,2180.5,2196.5,2178.75,-,0.61%
20-Nov-16,2180.75,2180,2181.5,2179.75,-,0.02%
18-Nov-16,2180.25,2183.25,2187.5,2176.5,-,-0.13%
17-Nov-16,2183,2172.88,2185.5,2171.75,-,0.47%
16-Nov-16,2172.75,2179.5,2184.75,2168.75,-,-0.30%
15-Nov-16,2179.25,2161.25,2180,2159.25,-,0.87%
14-Nov-16,2160.5,2164.5,2174.5,2152.25,-,-0.05%
11-Nov-16,2161.5,2165,2170.5,2148.5,1.88M,-0.27%
10-Nov-16,2167.25,2159.5,2180.5,2147.75,3.13M,0.32%
9-Nov-16,2160.25,2138,2166.75,2028.5,5.28M,1.16%
8-Nov-16,2135.5,2129,2143.25,2119,1.75M,0.31%
7-Nov-16,2129,2106,2130.75,2102.75,1.76M,2.36%
4-Nov-16,2080,2084,2094.25,2078.75,2.08M,-0.17%
3-Nov-16,2083.5,2088.25,2098.75,2079.75,1.80M,-0.42%
2-Nov-16,2092.25,2102.25,2106.5,2087.25,2.01M,-0.55%
1-Nov-16,2103.75,2123.5,2129.5,2091,2.26M,-0.77%
31-Oct-16,2120,2120,2130.5,2114.75,1.37M,-0.18%
28-Oct-16,2123.75,2127.25,2135.25,2112.5,2.39M,0.01%
27-Oct-16,2123.5,2133.75,2143.75,2122.5,1.80M,-0.49%
26-Oct-16,2134,2135.25,2140,2124.75,1.55M,-0.19%
25-Oct-16,2138,2144.75,2149.75,2135.25,1.20M,-0.29%
24-Oct-16,2144.25,2137,2149,2134.75,1.01M,0.45%
21-Oct-16,2134.75,2136,2138.5,2123.25,1.41M,-0.11%
20-Oct-16,2137,2137.5,2144.5,2126.75,1.61M,-0.05%
19-Oct-16,2138,2131.5,2142.5,2126.5,948.48K,0.28%
18-Oct-16,2132,2122.5,2139.75,2120.25,1.14M,0.42%
17-Oct-16,2123,2126.25,2130,2116.75,1.25M,-0.19%
14-Oct-16,2127,2126.25,2143.25,2122.25,1.84M,0.04%
13-Oct-16,2126.25,2127.75,2132.25,2107.75,2.20M,-0.25%
12-Oct-16,2131.5,2133,2140.75,2126.25,1.48M,-0.14%
11-Oct-16,2134.5,2159.5,2160.75,2121.75,2.24M,-1.13%
10-Oct-16,2159,2152,2163.5,2148.5,952.87K,0.58%
7-Oct-16,2146.5,2155.25,2161.5,2138,1.96M,-0.46%
6-Oct-16,2156.5,2153.25,2157.25,2143.25,1.21M,0.15%
5-Oct-16,2153.25,2144.25,2158,2141,1.37M,0.40%
4-Oct-16,2144.75,2153.75,2159.75,2136,2.14M,-0.39%
3-Oct-16,2153.25,2158.75,2164,2146.75,1.41M,-0.34%
30-Sep-16,2160.5,2145.75,2168.25,2135.75,1.99M,0.56%
29-Sep-16,2148.5,2162.25,2167,2137.25,2.31M,-0.68%
28-Sep-16,2163.25,2152,2165.25,2144,1.73M,0.49%
27-Sep-16,2152.75,2139.25,2154,2132.75,1.66M,0.61%
26-Sep-16,2139.75,2156.25,2159.5,2136.75,1.60M,-0.85%
23-Sep-16,2158,2168.25,2169.5,2156,1.45M,-0.47%
22-Sep-16,2168.25,2156.25,2172.75,2152.75,1.52M,0.56%
21-Sep-16,2156.25,2130,2157.5,2126.25,1.83M,1.18%
20-Sep-16,2131,2133.75,2143.5,2129,1.39M,-0.09%
19-Sep-16,2133,2132.25,2146.75,2127.75,1.53M,-0.33%
16-Sep-16,2139.96,2143.75,2144.25,2135.5,57.78K,-0.23%
15-Sep-16,2145,2121.75,2151.5,2114.75,398.40K,1.17%
14-Sep-16,2120.25,2131.75,2141.25,2118.75,661.16K,-0.40%
13-Sep-16,2128.75,2156.25,2157.5,2119,1.20M,-1.38%
12-Sep-16,2158.5,2121.75,2162.75,2107,1.45M,1.68%
9-Sep-16,2122.75,2177.25,2178.25,2119.75,2.07M,-2.51%
8-Sep-16,2177.5,2184.5,2189.25,2175.75,2.11M,-0.32%
7-Sep-16,2184.5,2185.25,2186.75,2177.5,1.46M,0.00%
6-Sep-16,2184.5,2179.25,2186.25,2173,1.63M,0.30%
5-Sep-16,2178,2180.75,2182.25,2175,-,-0.13%
4-Sep-16,2180.75,2178.75,2181.75,2178.25,-,0.13%
2-Sep-16,2178,2166.25,2183.75,2164.25,1.70M,0.50%
1-Sep-16,2167.25,2169,2177.25,2154.75,1.94M,-0.10%
31-Aug-16,2169.5,2175.75,2176.25,2159.5,1.86M,-0.26%
30-Aug-16,2175.25,2180,2181.5,2168.5,1.37M,-0.18%
29-Aug-16,2179.25,2167.75,2182.25,2164.5,1.25M,0.50%
26-Aug-16,2168.5,2174,2186.75,2157.5,2.54M,-0.23%
25-Aug-16,2173.5,2175,2177.25,2167.5,1.50M,-0.07%
24-Aug-16,2175,2185.75,2187.75,2168.75,1.51M,-0.47%
23-Aug-16,2185.25,2180.75,2191.5,2179.25,1.13M,0.17%
22-Aug-16,2181.5,2181.75,2184.5,2173.5,1.54M,-0.01%
19-Aug-16,2181.75,2183.5,2184.25,2172.5,1.43M,-0.08%
18-Aug-16,2183.5,2180.75,2184.5,2176.25,1.20M,0.17%
17-Aug-16,2179.75,2177.5,2182,2165.5,1.70M,0.14%
16-Aug-16,2176.75,2186,2186.25,2175.25,1.39M,-0.42%
15-Aug-16,2186,2180.75,2190.75,2180.5,1.09M,0.26%
12-Aug-16,2180.25,2181.75,2184,2175.5,1.27M,-0.07%
11-Aug-16,2181.75,2172.5,2185.25,2170,1.33M,0.41%
10-Aug-16,2172.75,2178,2181.5,2167.75,1.37M,-0.22%
9-Aug-16,2177.5,2176,2183.5,2173.75,1.19M,0.09%
8-Aug-16,2175.5,2176,2183,2173.25,938.62K,-0.06%
5-Aug-16,2176.75,2159.5,2178.5,2159.25,1.36M,0.81%
4-Aug-16,2159.25,2156.75,2164.25,2154,1.24M,0.10%
3-Aug-16,2157,2152.25,2158.25,2145.25,1.36M,0.20%
2-Aug-16,2152.75,2166,2171,2141.5,1.96M,-0.54%
1-Aug-16,2164.5,2174,2177.75,2159.75,1.65M,-0.17%
29-Jul-16,2168.25,2165.5,2171.75,2157.5,1.69M,0.16%
28-Jul-16,2164.75,2162.75,2168.5,2153.5,1.62M,0.20%
27-Jul-16,2160.5,2166,2169.25,2152,1.63M,-0.13%
26-Jul-16,2163.25,2162.75,2168,2153.75,1.60M,0.05%
25-Jul-16,2162.25,2167.75,2172.5,2155.75,1.26M,-0.24%
22-Jul-16,2167.5,2159,2169.25,2156,1.12M,0.44%
21-Jul-16,2158,2168.25,2170.25,2153.5,1.30M,-0.44%
